melspectrogram,mfcc,class_id
../../datasets/images/test/4492340521436974322_melspectrogram_100sec.jpg,../../datasets/images/test/4492340521436974322_mfcc_100sec.jpg,7
../../datasets/images/test/5354258108174729681_melspectrogram_80sec.jpg,../../datasets/images/test/5354258108174729681_mfcc_80sec.jpg,7
../../datasets/images/test/7778970576569246837_melspectrogram_80sec.jpg,../../datasets/images/test/7778970576569246837_mfcc_80sec.jpg,7
../../datasets/images/test/2524510748442394104_melspectrogram_60sec.jpg,../../datasets/images/test/2524510748442394104_mfcc_60sec.jpg,7
../../datasets/images/test/6454335064733697006_melspectrogram_20sec.jpg,../../datasets/images/test/6454335064733697006_mfcc_20sec.jpg,7
../../datasets/images/test/2973416589310055528_melspectrogram_50sec.jpg,../../datasets/images/test/2973416589310055528_mfcc_50sec.jpg,4
../../datasets/images/test/8791816819055036017_melspectrogram_60sec.jpg,../../datasets/images/test/8791816819055036017_mfcc_60sec.jpg,7
../../datasets/images/test/1390443416854219856_melspectrogram_80sec.jpg,../../datasets/images/test/1390443416854219856_mfcc_80sec.jpg,7
../../datasets/images/test/5152405963932538658_melspectrogram_100sec.jpg,../../datasets/images/test/5152405963932538658_mfcc_100sec.jpg,7
../../datasets/images/test/2409945023936457731_melspectrogram_100sec.jpg,../../datasets/images/test/2409945023936457731_mfcc_100sec.jpg,3
../../datasets/images/test/2133761556242930647_melspectrogram_50sec.jpg,../../datasets/images/test/2133761556242930647_mfcc_50sec.jpg,7
../../datasets/images/test/4551712070073913891_melspectrogram_30sec.jpg,../../datasets/images/test/4551712070073913891_mfcc_30sec.jpg,7
../../datasets/images/test/6673085998562089061_melspectrogram_70sec.jpg,../../datasets/images/test/6673085998562089061_mfcc_70sec.jpg,7
../../datasets/images/test/8594968185545670592_melspectrogram_80sec.jpg,../../datasets/images/test/8594968185545670592_mfcc_80sec.jpg,5
../../datasets/images/test/8782516860520347621_melspectrogram_50sec.jpg,../../datasets/images/test/8782516860520347621_mfcc_50sec.jpg,7
../../datasets/images/test/2533690326271031687_melspectrogram_0sec.jpg,../../datasets/images/test/2533690326271031687_mfcc_0sec.jpg,3
../../datasets/images/test/8997077292352794307_melspectrogram_70sec.jpg,../../datasets/images/test/8997077292352794307_mfcc_70sec.jpg,3
../../datasets/images/test/1552233266684303699_melspectrogram_60sec.jpg,../../datasets/images/test/1552233266684303699_mfcc_60sec.jpg,3
../../datasets/images/test/2362867353584714040_melspectrogram_30sec.jpg,../../datasets/images/test/2362867353584714040_mfcc_30sec.jpg,7
../../datasets/images/test/4292845283148465264_melspectrogram_70sec.jpg,../../datasets/images/test/4292845283148465264_mfcc_70sec.jpg,4
../../datasets/images/test/5961123935751036713_melspectrogram_50sec.jpg,../../datasets/images/test/5961123935751036713_mfcc_50sec.jpg,7
../../datasets/images/test/7147539271305900178_melspectrogram_10sec.jpg,../../datasets/images/test/7147539271305900178_mfcc_10sec.jpg,5
../../datasets/images/test/4473473392936045880_melspectrogram_60sec.jpg,../../datasets/images/test/4473473392936045880_mfcc_60sec.jpg,7
../../datasets/images/test/2901848861777890762_melspectrogram_90sec.jpg,../../datasets/images/test/2901848861777890762_mfcc_90sec.jpg,7
../../datasets/images/test/3821043073824167513_melspectrogram_10sec.jpg,../../datasets/images/test/3821043073824167513_mfcc_10sec.jpg,7
../../datasets/images/test/2257390699642946240_melspectrogram_0sec.jpg,../../datasets/images/test/2257390699642946240_mfcc_0sec.jpg,7
../../datasets/images/test/4704881461785725423_melspectrogram_100sec.jpg,../../datasets/images/test/4704881461785725423_mfcc_100sec.jpg,7
../../datasets/images/test/5942536235605841095_melspectrogram_50sec.jpg,../../datasets/images/test/5942536235605841095_mfcc_50sec.jpg,7
../../datasets/images/test/2881960743045046456_melspectrogram_40sec.jpg,../../datasets/images/test/2881960743045046456_mfcc_40sec.jpg,4
../../datasets/images/test/7818310571994210311_melspectrogram_100sec.jpg,../../datasets/images/test/7818310571994210311_mfcc_100sec.jpg,4
../../datasets/images/test/6103341615924313882_melspectrogram_100sec.jpg,../../datasets/images/test/6103341615924313882_mfcc_100sec.jpg,2
../../datasets/images/test/873312080173855340_melspectrogram_40sec.jpg,../../datasets/images/test/873312080173855340_mfcc_40sec.jpg,7
